model,kind,snr,condition,active,metric,outcome,noise_seed,uncertainty,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,electrode,all,micro_ap,absolute,8128,training_seed_student_t_95,3,0.5097645556367283,0.06538207908803062,0.34734646730352153,0.672182643969935
resnet,bandpass,0,electrode,all,micro_auroc,absolute,8128,training_seed_student_t_95,3,0.7342309401371355,0.0321404582217418,0.6543896157965602,0.8140722644777109
resnet,bandpass,0,electrode,all,micro_f1,absolute,8128,training_seed_student_t_95,3,0.48128923147732067,0.024205436241362607,0.4211595944815288,0.5414188684731125
resnet,bandpass,0,electrode,all,probability_shift,absolute,8128,training_seed_student_t_95,3,0.21965140104293815,0.004317619560212881,0.20892583946855536,0.23037696261732094
resnet,bandpass,0,independent,all,ap_CD,absolute,8128,training_seed_student_t_95,3,0.7230036068826612,0.010175215604502965,0.6977269700746381,0.7482802436906842
resnet,bandpass,0,independent,all,ap_CD,clean_drop,8128,training_seed_student_t_95,3,0.0835852757527535,0.015178870148434949,0.04587887199573218,0.12129167950977482
resnet,bandpass,0,independent,all,ap_CD,normalized_robustness,8128,training_seed_student_t_95,3,0.8964514686803128,0.018133754111691873,0.8514047262364096,0.941498211124216
resnet,bandpass,0,independent,all,ap_HYP,absolute,8128,training_seed_student_t_95,3,0.5553737695852281,0.021621874982730643,0.5016620545425415,0.6090854846279147
resnet,bandpass,0,independent,all,ap_HYP,clean_drop,8128,training_seed_student_t_95,3,0.08622817139609636,0.018000304671155327,0.04151293574003791,0.1309434070521548
resnet,bandpass,0,independent,all,ap_HYP,normalized_robustness,8128,training_seed_student_t_95,3,0.8657478386308743,0.02717853111308054,0.798232624543728,0.9332630527180207
resnet,bandpass,0,independent,all,ap_MI,absolute,8128,training_seed_student_t_95,3,0.5796171045200426,0.04788888509536229,0.46065451908244903,0.6985796899576361
resnet,bandpass,0,independent,all,ap_MI,clean_drop,8128,training_seed_student_t_95,3,0.18349294434498595,0.03125973271235783,0.10583946345594475,0.26114642523402715
resnet,bandpass,0,independent,all,ap_MI,normalized_robustness,8128,training_seed_student_t_95,3,0.7588789372746078,0.04642092499433498,0.6435629668832759,0.8741949076659397
resnet,bandpass,0,independent,all,ap_NORM,absolute,8128,training_seed_student_t_95,3,0.8333021268548667,0.007550526773741784,0.8145455785528666,0.8520586751568668
resnet,bandpass,0,independent,all,ap_NORM,clean_drop,8128,training_seed_student_t_95,3,0.07375809484277988,0.001871849614025209,0.06910816262591218,0.07840802705964758
resnet,bandpass,0,independent,all,ap_NORM,normalized_robustness,8128,training_seed_student_t_95,3,0.9186749437455878,0.002515513601194716,0.9124260615445166,0.924923825946659
resnet,bandpass,0,independent,all,ap_STTC,absolute,8128,training_seed_student_t_95,3,0.6587707909410382,0.03862882481231038,0.5628114704653703,0.7547301114167061
resnet,bandpass,0,independent,all,ap_STTC,clean_drop,8128,training_seed_student_t_95,3,0.15321282097121328,0.028937890531266972,0.08132711580488103,0.22509852613754552
resnet,bandpass,0,independent,all,ap_STTC,normalized_robustness,8128,training_seed_student_t_95,3,0.8110095680519979,0.0379187427768966,0.7168141891389159,0.9052049469650798
resnet,bandpass,0,independent,all,auroc_CD,absolute,8128,training_seed_student_t_95,3,0.8464701163257119,0.010347359702681032,0.8207658498715548,0.872174382779869
resnet,bandpass,0,independent,all,auroc_CD,clean_drop,8128,training_seed_student_t_95,3,0.051778851752649326,0.014560884698262796,0.015607608957694634,0.08795009454760402
resnet,bandpass,0,independent,all,auroc_CD,normalized_robustness,8128,training_seed_student_t_95,3,0.9424059193317316,0.015907726864763622,0.9028889351192382,0.981922903544225
resnet,bandpass,0,independent,all,auroc_HYP,absolute,8128,training_seed_student_t_95,3,0.8505974812381227,0.010283193509377887,0.8250526124445675,0.876142350031678
resnet,bandpass,0,independent,all,auroc_HYP,clean_drop,8128,training_seed_student_t_95,3,0.04225180103284273,0.010417270452298986,0.016373866649105086,0.06812973541658036
resnet,bandpass,0,independent,all,auroc_HYP,normalized_robustness,8128,training_seed_student_t_95,3,0.9526835656965882,0.011655814662700893,0.9237289169321593,0.9816382144610171
resnet,bandpass,0,independent,all,auroc_MI,absolute,8128,training_seed_student_t_95,3,0.7727894617819991,0.03706477935685814,0.6807154456050637,0.8648634779589346
resnet,bandpass,0,independent,all,auroc_MI,clean_drop,8128,training_seed_student_t_95,3,0.1176251319161767,0.03195701514346503,0.038239505444302616,0.19701075838805077
resnet,bandpass,0,independent,all,auroc_MI,normalized_robustness,8128,training_seed_student_t_95,3,0.8677621605546618,0.036626432343619605,0.7767770587241318,0.9587472623851918
resnet,bandpass,0,independent,all,auroc_NORM,absolute,8128,training_seed_student_t_95,3,0.8754893398853826,0.007987420204048098,0.8556474881371561,0.8953311916336091
resnet,bandpass,0,independent,all,auroc_NORM,clean_drop,8128,training_seed_student_t_95,3,0.058084119390966284,0.006414374872385159,0.04214992887336806,0.0740183099085645
resnet,bandpass,0,independent,all,auroc_NORM,normalized_robustness,8128,training_seed_student_t_95,3,0.9377753952010709,0.006979872407549772,0.9204364309304858,0.955114359471656
resnet,bandpass,0,independent,all,auroc_STTC,absolute,8128,training_seed_student_t_95,3,0.8390107835010205,0.026267643160797476,0.7737583405272915,0.9042632264747495
resnet,bandpass,0,independent,all,auroc_STTC,clean_drop,8128,training_seed_student_t_95,3,0.08507635528530684,0.022181543744173717,0.029974345966248137,0.14017836460436556
resnet,bandpass,0,independent,all,auroc_STTC,normalized_robustness,8128,training_seed_student_t_95,3,0.9078627293325837,0.024452802235531434,0.84711860114208,0.9686068575230874
resnet,bandpass,0,independent,all,brier,absolute,8128,training_seed_student_t_95,3,0.1561069289843241,0.01786593894029409,0.11172547630746081,0.20048838166118738
resnet,bandpass,0,independent,all,clean_agreement,absolute,8128,training_seed_student_t_95,3,0.7755329008341056,0.04163509695096326,0.6721055863671184,0.8789602153010929
resnet,bandpass,0,independent,all,ece,absolute,8128,training_seed_student_t_95,3,0.13530929266214184,0.0082121727661523,0.1149091245985867,0.155709460725697
resnet,bandpass,0,independent,all,f1_CD,absolute,8128,training_seed_student_t_95,3,0.6204259358544254,0.018022230962546768,0.5756562322710433,0.6651956394378075
resnet,bandpass,0,independent,all,f1_CD,clean_drop,8128,training_seed_student_t_95,3,0.08847716772041454,0.014598544913848023,0.0522123717636931,0.12474196367713598
resnet,bandpass,0,independent,all,f1_CD,normalized_robustness,8128,training_seed_student_t_95,3,0.8751234323420256,0.02121319247316361,0.8224269409334747,0.9278199237505765
resnet,bandpass,0,independent,all,f1_HYP,absolute,8128,training_seed_student_t_95,3,0.5186945956556376,0.021767604438923522,0.46462086857511387,0.5727683227361613
resnet,bandpass,0,independent,all,f1_HYP,clean_drop,8128,training_seed_student_t_95,3,0.08286461149448188,0.011451861721579054,0.05441660992250982,0.11131261306645393
resnet,bandpass,0,independent,all,f1_HYP,normalized_robustness,8128,training_seed_student_t_95,3,0.8625418454086885,0.013409172607576968,0.8292316140512498,0.8958520767661272
resnet,bandpass,0,independent,all,f1_MI,absolute,8128,training_seed_student_t_95,3,0.4956449680739497,0.02189174492269689,0.4412628589361335,0.5500270772117659
